clue_id,player_id,answer,wager,is_correct
1271,1,Who are Dickinson & Whitman?,9901,1
1332,39,What is some material I don\'t know,2199,0
1332,40,What is astroturf?,4500,1
1332,1,What is [be scribbled out] Astroturf?,6438,1
1393,42,What are electors?,3399,1
1393,41,What ambassadors,2380,0
1393,1,What are the 3 Stooges,10800,0
1454,43,Who is JFK?,4000,0
1454,44,Who is Senator Ted Kennedy,3401,0
1454,1,Who is Joe McCarthy?,6400,1
1515,45,Who is Kepler?,2600,1
1515,46,Who is ?,100,0
1515,1,Who is Mendel?,15000,0
1576,48,What is Kiss Me Kate?,2000,1
1576,47,What is Kiss Me Kate,801,1
1576,1,What is Kiss Me Kate?,9000,1
1635,49,What is Grenada?,0,1
1635,50,What is Granada,3500,1
1635,1,What is Granada?,9000,1
1694,51,Who is Hertz?,1200,1
1694,52,Who is Hansom?,11000,0
1694,1,Who is Hertz?,100,1
1755,53,Who is NO CLUE,6600,0
1755,54,Who is Mitchell,6401,0
1755,1,Who is Lindbergh?,5100,1
1816,55,Who are Shields & Yarnell,4500,0
1816,56,Who are Woodward & Bernstein?,2200,0
1816,1,Who are Penn & Teller?,5400,1
1871,58,Who was Edison?,4400,0
1871,57,Who is Bell?,800,1
1871,59,Who is Alexander Graham Bell?,2000,1
1932,62,What is Puerto Rico?,6000,0
1932,60,What is Hawaii? (The Big Island),1000,1
1932,61,What is Manhattan?,5500,0
1991,64,What is the sea of,5000,0
1991,65,What is 1 acre?,3200,0
1991,63,What is Jesus grav,3000,0
2049,68,What is ?,400,0
2049,66,What is the Loch Ness Monster?,2899,0
2049,67,What is the Berlin Wall?,1400,0
2101,69,What is table tennis?,1500,1
2101,71,What is table tennis?,3600,1
2162,73,Who was Penn?,5000,0
2162,72,Who was/is Columbus (Chris),299,0
2162,1,Who is Leif Ericson?,2800,1
2223,75,Who is Irving?,5300,0
2223,1,Who is Tolkien?,6800,1
2284,76,What is Bolivia?,12200,0
2284,77,What is Suriname?,7401,1
2284,1,What is Surinam,8801,1
2345,78,What the Frontier?,1799,1
2345,79,What is the Old West?,5400,0
2345,1,What is the frontier?,3400,1
2406,81,What is the Exorcist,1700,0
2406,80,What is Rosemary\'s Baby?,4500,0
2406,1,What is Halloween?,4400,1
2467,82,What is the social register?,6500,1
2467,83,What is see next podium ->,5601,0
2467,1,What is the registry,4200,0
2526,85,Who is Louis XIV?,2201,1
2526,84,Who is Henry 8th,3801,0
2526,1,Who is Louis XIV?,7499,1
2585,87,What is the ?,9799,0
2585,1,What is the Space Needle?,10000,1
2645,89,What is Wuthering Heights,2100,0
2645,88,What is Gone With the Wind?,300,1
2645,1,What is Wuthering Heights,17200,0
2706,90,What is the Kentucky Derby?,199,0
2706,91,What is Wimbledon?,12500,1
2706,1,What is Wimbledon?,5601,1
2765,93,What is ?,199,0
2765,92,What is Land\'s End?,500,0
2765,1,What is Fossil?,5400,0
2826,94,What is Dublin?,3400,1
2826,95,What is Dublin?,11400,1
2826,1,What is Dublin?,3200,1
2887,96,What is the Southern Cross?,7000,1
2887,97,What is the Southern Cross?,2400,1
2887,98,What is the Southern Cross?,1337,1
2948,101,Who is Oliver Twist,5800,0
2948,99,Who ?,800,0
2948,100,Who is Tiny Tim,4000,0
3009,102,What is Greenwich Mean?,3600,0
3009,104,What is the Prime Meridian?,5000,1
3009,103,What is the Prime Meridian?,3,1
3070,105,What is Moonlight Sonata?,5000,1
3070,106,What is the Moonlight Sonata?,6800,1
3070,107,What is the Moonlight Sonata?,3600,1
3131,109,What is a secretary?,5400,0
3131,108,What is a maid?,7800,0
3131,110,What is a governess?,2500,1
3192,99,What,7600,0
3192,96,What is the human genome?,5133,1
3192,106,What is the human genome project?,8301,1
3253,97,What is As I Lay Dying?,10600,1
3253,107,What is As I Lay Dying?,8201,1
3253,110,What is As I Lay Dying?,6800,1
3314,103,Who is Sandra Day O\'Connor,7800,1
3314,105,Who is Ruth Bader Ginsberg,8998,0
3314,98,Who is Sandra O\'Connor,1041,1
3370,110,Who is Rachel Carson?,3800,0
3370,106,Who is Carson?,6200,0
3370,98,Who is Rachel Carson?,3600,0
3429,106,"What is Harrisburg, PA?",1001,0
3429,110,What is Virginia?,4000,0
3429,98,What is ?,447,0
3490,112,Who is Rockefeller?,0,1
3490,111,Who,700,0
3490,1,Who is Nelson Rockefeller?,10299,1
3551,114,What the gloves are off?,2400,0
3551,113,What,200,0
3551,1,"What is ""throw a hat in the ring""?",11600,1
3612,115,What Germany Austria England,19,0
3612,116,What are Britain Spain and Mexico,7,1
3612,1,"What are Spain, Mexico, and the [UK crossed out] CSA?",9200,0
3671,117,What are John & Simon,400,0
3671,118,What are Thomas + Judas,7500,0
3671,1,What are Matthew & Andrew?,5800,1
3729,120,What is H&R Block?,4401,1
3729,1,What is FedEx?,5601,0
3787,120,Who is Captain Bligh?,5198,0
3787,122,Who is Cook?,5101,0
3787,121,Who is Cooke?,800,0
3848,124,What is extraordinary?,5599,0
3848,123,What is experts?,8000,0
3848,121,What is erudite?,801,1
3908,121,What is Los Angeles?,4600,0
3908,126,What is Detroit?,3000,1
3969,126,"What is ""Little Red Riding Hood""?",8900,0
3969,128,"What is ""The Little Mermaid""?",11600,1
3969,127,"What is ""Little Red Riding Hood""?",2801,0
4028,129,Who is Ibsen?,4201,1
4028,128,Who is G. B. Shaw,8000,0
4028,130,Hi!,500,0
4087,130,Who is McNamara?,1400,0
4087,132,Who is Cohen?,0,0
4087,131,Who is Dulles?,3001,0
4148,134,Who is Shakespeare?,2450,1
4148,131,Who is Drake?,19600,0
4148,133,Who is Shakespeare?,10000,1
4209,135,What are NM and LA?,0,0
4209,133,What are Hawaii and Louisiana?,10000,0
4209,136,What are Hawaii and Alaska?,9601,0
4270,138,What are Archer and Daniels?,400,0
4270,137,What Johnson & Johnson?,1401,0
4270,136,What are Rolls & Royce?,6000,1
4331,139,Who is O\'Neil?,6599,0
4331,136,Who is Ibsen?,9400,0
4331,140,Who was [something crossed out] Shaw?,1000,1
4391,141,Who is ?,3000,0
4391,142,Who was MacArthur?,7198,0
4391,140,Who was Churchill?,400,0
4452,140,What is the Bayeux Tapestry?,11200,1
4452,143,What is the Bayeux Tapestry,10000,1
4452,144,What is the Bayeux Tapestry?,13101,1
4510,145,What is the Super Bowl?,300,1
4510,146,What is Lollapalooza?,6800,0
4510,144,What is the Super Bowl?,3810,1
4568,148,What are Douglas and Barrymore?,10200,0
4568,147,What are Fonda and Barrymore?,6100,0
4568,144,What are Huston and [unreadable]?,13700,0
4629,149,Who is Judas?,800,1
4629,150,Who is Judas?,5150,1
4629,147,Who is David?,700,0
4690,150,Who is Thoreau?,2600,1
4690,151,Who is Emerson,8500,0
4690,152,Who is Emerson,10000,0
4749,154,Who were the Mongols,4799,0
4749,155,Who were the Tatars,6000,1
4749,153,Who were the Huns,5000,0
4803,156,What Immigration & Naturalization?,0,1
4803,155,What is the INS Immigration & Naturaliza-tion Service?,4100,1
4803,157,What is the I.N.S.?,2900,1
4864,160,Who  is Rosa Parks?,799,1
4864,159,Who is Rosa Parks?,3401,1
4864,161,Who is Parks?,2,1
4925,158,Who is Ray Bradbury?,2799,1
4925,162,Who is Bradbury?,2000,1
4925,152,Who is Vidal?,16001,0
4986,164,What is the book of Moses?,0,0
4986,165,What is the book of Job?  Go Browns!,800,1
4986,163,What is Job?,1900,1
5047,169,Who is Black Hawk?,4200,1
5047,171,Who was Chief Pontiac?,700,0
5047,170,Who was Sitting Bull?,3300,0
5105,167,"What is the letter ""J""?",1200,0
5105,166,"What is the letter ""M""?",2000,0
5105,168,"What is the letter ""J""?",4201,0
5160,172,What is Roswell?,2195,1
5160,174,"What is Roswell, New Mexico",4100,1
5160,173,What is Santa Fe,400,0
5221,179,What is Stockholm?,7000,1
5221,175,What is Helsinki?,11399,0
5221,162,What is Stockholm [letters written very jittery],1000,1
5282,176,What are the Solomon Islands?,1400,1
5282,177,What are the Solomon Islands,1200,1
5282,178,What is Jamaica?,1198,0
5343,181,What is the Red Sea?,1200,1
5343,180,What is the Mediterranean?,7200,0
5343,162,What is the Mediterranean Sea?,3201,0
5403,182,Who are Nixon and LBJ?,4500,1
5403,183,Who are Nixon and LBJ?,4800,1
5403,174,Who are Richard Nixon & Harry Truman,3900,1
5461,162,What are vacation & vocation?,0,1
5461,185,What are vocation & vacation?,9400,1
5461,184,What are vacation & vocation?,4199,1
5522,190,Who is Cap Weinberger?,4000,1
5522,192,Who is Weinberger?,6100,1
5522,191,Who was the Secretary of Education?,0,0
5582,190,What is Kenya?,3300,0
5582,163,What is Nigeria?,6200,1
5582,161,What is Nigeria?,3000,1
5640,185,What is Okinawa?,6199,0
5640,194,"What [""is Att"" crossed out] are the Aleutians",2500,0
5701,195,Who is ?,0,0
5701,194,Who is Spiro Agnew?,14799,0
5701,196,Who is John Adams?,13501,0
5757,195,Who is Icarus?,0,1
5757,198,Who is Apollo,4900,0
5757,197,Who is Vulcan?,12001,0
5816,200,What is the Vatican,1000,0
5816,198,What is North Korea?,1000,0
5877,201,What is stainless steel?,1000,1
5877,202,What is stainless steel?,1400,1
5877,198,What is stainless steel,500,1
5938,203,What is Tiffany\'s?,1000,1
5938,204,What is Woolworth\'s?,7000,0
5938,198,What is Tiffany\'s?,8900,1
5997,206,Who are the Huegonots?,9900,0
5997,205,Who were the Gauls?,8100,0
5997,198,Who are the Gauls?,7700,0
6058,165,"What is Jefferson City, MO?",6000,0
6058,166,"What is Madison, Wisconsin?",4400,1
6119,208,What is Saturday Evening Post?,1400,1
6119,198,What is the Saturday Evening Post?,6800,1
6119,207,What is Saturday Evening Post,2101,1
6180,209,Who was Asimov?,400,1
6180,210,Who is Asimov,1300,1
6180,207,Who was Isaac Asimov?,2400,1
6241,212,What is 1789?,6700,0
6241,207,What is 1553?,17400,0
6241,211,What is 1938?,16501,0
6297,159,What is Guam?,1066,0
6297,169,What is Attu?,0,0
6355,212,"What is January 1, 1777?",4000,0
6355,214,"What is June 25, 1777?",14800,0
6355,213,"What is July 4, 1776?",3000,0
6414,216,Who is George [very small illegible scribble],7399,0
6414,215,Who is George Tenet?,6000,1
6414,213,Who is George Tennet???,6000,1
6473,217,Who are Thomas Jefferson & J. Adams?,300,0
6473,213,Who are John Adams & George Washington?,11800,0
6473,218,Who were Abraham Lincoln & Andrew Johnson?,3500,1
6529,219,What is South Korea?,0,0
6529,218,What is Thailand?,2500,1
6529,220,What is Cambodia?,7700,0
6589,221,What is Tupperware,5000,1
6589,218,What is Tupperware?,9399,1
6589,222,What is Tupperware?,2000,1
6649,218,What is Take Me Out to the Ballgame?,9199,1
6649,223,What is Take me out to the ballgame,7600,1
6649,224,What is Casey at the Bat,5301,0
6705,166,What is George?,3400,1
6705,161,What is George?,3000,1
6705,169,What is Henry?,2100,0
6763,226,What is The Da Vinci Code?,5999,1
6763,223,What is The Da Vinci Code?,1007,1
6763,225,What is the Da Vinci Code?,8003,1
6824,225,Who is Peter Pan?,4003,1
6824,228,Who is Peter Pan?,2599,1
6824,227,Who is The Little Prince,7000,0
6885,166,Who was Buchanan?,2400,1
6885,161,Who was Buchanan?,4200,1
6885,169,Who was Franklin Pierce James Buchanan?,1201,1
6943,231,What is Germany?,5700,1
6943,229,What is Germany?,6300,1
6943,230,What is Germany?,6000,1
7002,232,"What was June 11, 1967?",2300,0
7002,233,"What is June 12, 1967?",8350,0
7002,228,What is June 10?,3800,1
7063,234,What is The Barber,5000,0
7063,228,What is The Raven,7001,0
7063,235,What is The Rape of the Lock,12001,1
7124,237,"What is the Ganges? (""Hi Tim"")",0,0
7124,238,What is Zadia?,0,0
7124,236,What is the Ganges?,11000,0
7185,240,What is the Capitol building?,400,0
7185,239,What is the capitol building of the Confederacy,2100,0
7185,241,What is the Houston Astrodome?,1000,0
7246,244,Who is Hamilton?,4000,0
7246,242,Who is Edward VIII?,500,1
7246,243,Who was ?,0,0
7307,245,What is Mont Everest XX Mount Everest,2400,1
7307,247,What is Everest?,5598,1
7307,246,What is Mt. Everest,3000,1
7368,249,What is the Pope\'s bedroom?,3600,0
7368,248,What is room 52?,1500,0
7368,250,What is the ceiling of the Sistine Chapel?,100,1
7429,253,Who is Washington?,4000,0
7429,252,Who is Jackson?,5200,1
7429,251,Who is Jefferson?,2899,0
7490,253,What are youth & age?,6200,0
7490,251,What are hope & despair?,8200,0
7490,252,What are innocence & love?,6300,0
7551,256,Who is Caine?,1201,0
7551,254,Who is Gunn?,4700,0
7551,255,Who is ?,3601,0
7612,257,Who is Buzz Aldrin,4000,1
7612,258,Who is Buzz Aldrin,2600,1
7612,259,Who is Buzz Aldrin,4200,1
7669,261,Who are Adams & J.Q. Adams?,350,1
7669,260,Who are Madison & J. Adams?,200,0
7669,262,Who are J. Adams & J.Q. Adams?,10100,1
7730,263,What is Pride and Prejudice?,3801,0
7730,264,What is Huck Finn?,2000,0
7791,257,What is Jupiter,12200,0
7791,246,What is Mars,9000,0
7791,263,What is Mercury?,6200,1
7847,267,Who was ?,800,0
7847,266,Who was Dorian Gray?,3000,1
7847,1605,Who was ?,1000,0
7908,271,What is Washington D.C.?,800,1
7908,270,What is D.C. Philadelphia?,5799,1
7908,269,Whut is Washington D.C.?,1200,1
7969,259,Who is Noah?,14200,0
7969,241,Who is Moses?,9401,1
8030,272,Who was Paderewski?,5500,1
8030,273,Who was Paderewski?,5000,1
8030,274,Who was ?,4801,0
8091,247,Who are the Kennedys?,1198,1
8091,239,Who is Kennedy?,10401,1
8091,264,Who are the Kennedy\'s?,12001,1
8152,276,"What is ""Wuthering Heights?""",5899,0
8152,277,What is ?,4000,0
8211,280,Who is Francis Gary Powers?,0,1
8211,279,Who was Powers?,5100,1
8211,278,Who is Powers?,2401,1
8272,281,What is ?,1200,0
8272,282,What is a potbelly?,500,0
8272,278,What is prostate cancer?,1000,0
8333,263,What is Carbon?,3000,0
8333,241,What is Oxygen?,5000,1
8333,264,What is Hydrogen?,6000,0
8394,284,What is John Deere?,1700,0
8394,283,What is  ---?,4601,0
8394,278,What is Caterpillar?,701,1
8455,263,What is the president pro tempore?,600,1
8455,264,What is the President Pro Tempore?,7000,1
8455,241,What is President Pro Tempore,5601,1
8516,286,Who is Ulysses S. Grant,2000,1
8516,287,who was LIncoln?,9900,0
8516,285,Who was Grant?,4801,1
8571,288,What is [Thanks crossed out] Veterans Day Hi MDKMR,3000,1
8571,290,What is Veterans Day? [with apostrophe scribbled out of Veteran\'s],300,1
8632,291,What is slander,400,1
8632,292,What is defamation?,4800,1
8632,293,What is slander?,11201,1
8693,295,What is God?,3300,1
8693,294,What is God?,2501,1
8693,278,What is God?,2600,1
8754,296,What is War of the Worlds?,1800,0
8754,298,What is All Quiet on Western Front,4000,0
8754,297,What is All\'s Quiet on the Western Front?,8500,0
8815,299,Who is Ross Perot?,999,0
8815,300,Who is George Lucas?,100,0
8815,278,"Who is Buffett?  (Thanks, Miss Clouser!)",8000,0
8876,301,Who were Truman & Jeff Weinfurter,2222,0
8876,302,Who are Truman & Hoover?,800,1
8876,268,Who are Truman + Eisenhower?,1000,0
8937,303,What is Vermont?,400,1
8937,304,What is Vermont,6000,1
8937,305,What is Florida,0,0
8998,306,What is Germany?,1500,0
8998,308,What is Germany?,900,0
8998,307,What is Germany?,0,0
9059,311,Who is Richard III,5000,1
9059,309,Who is Richard III?,3601,1
9059,310,Who is Richard III?,12200,1
9120,314,What was Garfield\'s assassination?,4700,0
9120,312,What is the,7899,0
9120,313,What is the Haymarket incident,1000,1
9181,315,Who was [Wilson P crossed out] Gut,5400,0
9181,316,Who was Brian Wilson,3800,0
9181,317,Who was Wilson Pickett?,9201,0
9242,268,What is Tyre?,6700,0
9242,307,What is Teheran?,6800,1
9242,313,What is T...?,7000,0
9303,318,Who is ?,4000,0
9303,320,Who are John Smith,891,0
9303,319,Who are,7000,0
9364,307,Who is Helmann?,4000,0
9364,313,Who is Wendy Wasserstein?,8100,1
9364,268,Who is Abramowitz,8601,0
9425,322,Who are Andrew Jackson & James Monroe,2000,0
9425,321,Who were William Henry Harrison & John Quincy Adams?,6600,1
9425,323,Who are John Quincy Adams & Andrew Jackson?,6200,0
9486,325,What DIVID,9800,0
9486,324,What is CIVIL?,2601,1
9547,328,What is Montreal?,5200,1
9547,327,What is Montreal,6900,1
9547,329,What is Montreal?,201,1
9605,330,Who is Van Buren?,3000,0
9605,332,Who is T. Roosevelt? Hoover?,5100,0
9605,331,Who is William Howard Taft?,5401,0
9666,334,What is [Mah-Jong crossed out] Feng Shua,12800,1
9666,333,What is Tai Chi?,4000,0
9666,335,What is fortune telling,13601,0
9727,336,What are Iceland + Greenland?,9600,0
9727,337,What is England + Australi,800,0
9727,338,What is Japan + U.K ?,0,1
9788,339,Who is Michael Crichton?,11500,1
9849,344,What are Phi Beta Kappa?,5400,1
9849,342,What is Phi Beta Kappa?,6900,1
9849,343,What is Phi Beta Kappa?,6801,1
9909,347,"What is Columbus, OH?",2300,1
9909,345,What is Albany?,4000,0
9909,346,What is Albany?,2600,0
9970,349,What is New Hampshire,9100,0
9970,348,What is Rhode Island?,9200,0
9970,350,What is Rhode Island?,0,0
10031,351,Who are Caron & Vadim?,2899,0
10031,353,Who are ?,1200,0
10031,352,Who were Taylor & Burton?,700,0
10092,354,What is the crossbow,4399,0
10092,356,What is the longbow?,1601,1
10092,355,What is a Longbow?,14100,1
10153,359,Who is O\'Connor?,4000,1
10153,358,Who is Sandra O\'Connor?,2400,1
10153,357,Who is Brennan?,2500,0
10214,332,What is Sweden?,1300,0
10214,329,What is France?,8300,1
10214,342,What is Germany?,6001,0
10273,328,What is Pennsylvania?,0,0
10273,358,What is Maryland?,2200,1
10273,343,What is Pennsylvania?,1401,0
10334,362,What is the Titanic sinking?,7200,1
10334,360,What is Titanic sinking?,7701,1
10334,361,What is the sinking of the Titanic?,6101,1
10382,363,What is Martin Luther King\'s B-Day,2500,1
10382,364,What is Martin Luther King\'s B-day?,3700,1
10382,365,What is Martin Luther King,300,1
10432,366,"What was Jan 1, 1900",1100,0
10432,367,"What is Jan. 1, 1900",5000,0
10432,365,"What is Jan 1, 1900",9500,0
10493,372,What is the Golden Key?,5000,0
10493,371,What is ?,7200,0
10493,373,What is The Maltese Falcon?,6400,1
10554,368,What is speak softly & carry a big stick?,9600,1
10554,369,WHAT is speak softly and carry a BIG STICK,2801,1
10605,375,What is English,4190,1
10605,376,What is Hindu,3000,0
10666,327,Who is Alan Shepard?,5700,0
10666,344,Who was Grissom?,400,0
10666,352,Who was Scott Carpenter?,3301,1
10719,375,What is Dept of Treasury,3100,0
10719,377,"What is Health, Education & Welfare",7000,0
10719,378,What Is H.U.D.?,7000,0
10773,379,What is Norway?,3100,0
10773,378,What is The Cont. of Africa?,4500,1
10773,380,What is Afr,1000,1
10834,329,What is Malta?,6400,1
10834,358,What is Cyprus?,1800,0
10834,352,What is Malta?,2500,1
10895,352,"Who are Ford, Johnson + Hoover?",5000,0
10895,329,"Who are Taft, Hoover + Carter",399,1
10895,358,"Who are Taft, Hoover + Ford?",8101,1
10956,381,Who was Thurmond?,800,1
10956,383,Who is Strom Thurmond,6200,1
10956,382,Who is Danforth?,6001,0
11017,384,What is The Hound of Baskervilles?,3592,0
11017,385,What is The Purloined Letter?,4000,1
11017,386,What is The Pit and the Pendulum?,8501,0
11078,389,What is U.S. Virgins,6200,0
11078,387,What is Manhattan?,13000,1
11078,388,What is New York?,10000,0
11139,392,What is Agriculture?,0,1
11139,391,What is Dept. of Agriculture?,7900,1
11139,390,What is Interior?,0,0
11200,393,Who is ?,200,0
11200,391,Who was St. Francis of Assisi?,6700,1
11200,390,Who\'s St. Francis of Assisi?,6101,1
11258,395,Who are Harrison Ford & Sean Connery?,1242,1
11258,396,Who are Connery & Cage?,780,0
11258,394,Who are Sean Connery & H. Ford?,1000,1
11319,399,What ?,6900,0
11319,397,What is time or,11800,0
11319,398,What is play ball?,7887,0
11380,400,What were the Plantagenets?,4100,1
11380,401,What was Plantagenet?,3500,1
11380,238,What is Plantagenet?,4000,1
11435,404,What is the USS Nautilus?,0,0
11435,403,What is the Beagle?,1000,1
11435,402,What is the Beagle?,3601,1
11496,406,What is The Philippines,1995,1
11496,402,What is the Philippines?,6300,1
11496,405,What is Indonesia,8901,0
11557,408,Who is Pasteur?,4000,1
11557,409,Who is Pasteur?,5100,1
11557,407,Who is Pasteur,4900,1
11618,410,Who was Melville?,5300,0
11618,411,Who is Mark Twain?,5000,1
11618,402,Who is Twain?,4401,1
11679,401,What is Memphis?,3000,0
11679,400,What is Memphis?,5000,0
11679,238,What is Oak Ridge?,0,1
11735,412,Who is Laurence Welk?,100,0
11735,413,Who is me?,5200,0
11735,402,Who is Rod Serling?,5001,1
11796,414,What is The Hippocratic Oath?,2500,1
11796,415,What is The Hippocratic Oath?,3003,1
11796,416,What is Aristotle\'s Ethics?,3300,0
11857,418,What is The Prophet?,3799,0
11857,419,What is The Satanic Verses,15000,1
11857,417,What is The Satanic Verses?,11201,1
11915,421,What is India?,1000,1
11915,420,What is India?,1650,1
11915,402,What is India?,1998,1
11976,427,Who was Ovid?,2200,1
11976,425,Who was Ovid?,14501,1
11976,426,Who is Ovid?,1601,1
12035,423,What is Tallahassee?,2000,1
12035,424,What is Jackson?,4700,0
12035,422,What is Tallahassee,3701,1
12096,430,Who was Major Andre,9700,1
12096,429,Who is Cornwallis?,5000,0
12096,428,Who Is [John crossed out] Andre,19300,1
12157,431,Who is Jerry Lewis?,500,1
12157,432,Who is Jerry Lewis?,2000,1
12157,422,Who is Jerry Lewis?,401,1
12218,434,Who was McDaniel?,3700,0
12218,435,Who was Dandridge?,6700,1
12218,433,Who is Dorothy Dandridge?,6000,1
12277,437,What is Radio Free Europe?,0,1
12277,422,What is the V.O.A.?,6200,0
12277,436,What is Voice of America?,4601,0
12337,438,Who is Miranda?,2400,1
12337,440,Who is Miranda?,3000,1
12337,439,WHO WAS MIRANDA?,7000,1
12398,441,What is air mail?,0,1
12398,442,What is the National Broadc,7995,0
12398,443,What is air mail?,2899,1
12459,448,What is Sunday Afternoon on the Island of L gr J,4000,0
12459,447,What is Starry Night,23400,1
12459,446,What is Starry Nights,24000,0
12519,449,Who is Jackson Pollock?,1199,1
12519,450,Who is Rothko?,300,0
12519,422,Who is Pollack?,5299,1
12580,451,What is That\'s all Folks?,1200,1
12580,452,What is That\'s All Folks!,11300,1
12580,453,"What are ""Thats All, Folks""?",11700,1
12641,454,Who is Fulton?,2600,1
12641,455,Who is Fuller?,3200,0
12641,453,Who is Clinton?,6500,0
12702,456,What is Everyman?,800,1
12702,457,What is every man,11000,1
12702,454,What is Everyman?,10301,1
12763,458,What is Yom Kippur,5099,0
12763,450,What is Ash Wednesday?,5200,1
12763,454,What is All Saint\'s Day,3301,0
12819,444,What is buffalo?,3000,0
12819,445,What is a bear?,8000,1
12819,436,What is sheep?,8101,0
12878,445,Who is Willie Nelson?,3400,1
12878,460,Who is Willie Nelson?,4700,1
12878,459,Who is Willie Nelson?,601,1
12939,462,Who was Franco?,1000,1
12939,461,Who was Franco?,5710,1
12939,459,Who was Pancho Villa?,2000,0
12999,461,What are Railroads?,7499,1
12999,463,What were Railroads?,7600,1
12999,464,What are railroad tracks?,5000,1
13059,465,Who was Grant?,4700,1
13059,464,Who is U.S. Grant?,8400,1
13059,466,Who was Grant?,9800,1
13120,468,WHO IS BARBARA BOXER?,9600,1
13120,467,Who is ?,8000,0
13120,469,Who is Barbara Boxer?,6001,1
13181,471,Who are the O\'Leary\'s?,2995,1
13181,472,Who are the Dal...?,3001,0
13181,470,Who were the O\'Leary\'s,1000,1
13242,475,What is shadow?,2800,0
13242,474,What is a nimbus?,7200,1
13242,473,What is a nimbus?,3000,1
13303,476,Who was onasis?,2400,0
13303,477,Who is Juan Carlos?,10000,1
13303,478,Who is Juan Carlos?,5100,1
13364,476,Who is Degas?,5000,0
13364,477,Who is Picasso?,6200,0
13364,478,Who is Renoir?,3800,1
13425,480,Who is Marion Jones?,1,1
13425,479,Who is Gail,3799,0
13425,1,Who is Jones?,17201,1
13486,482,What is German,3000,1
13486,481,What is Russian?,2101,0
13486,483,What is German?,12301,1
13542,484,What is an angel fish,4500,0
13542,485,What is an angel fish?,6199,0
13542,486,What are ministers?,6000,0
13603,488,What is Pictcairn Island?,7600,0
13603,489,What is Pitcairn?,9800,1
13603,487,What is Pitcairn?,2000,1
13662,490,What is the Eifel Tower?,3300,1
13662,466,What is the Eiffel Tower?,3300,1
13662,491,What is the Eiffel Tower?,2400,1
13721,495,What is ?,3800,0
13721,491,What is a restaurant?,6400,1
13721,492,What is a,4401,0
13779,494,Who is Mr... G?,1000,0
13779,493,Who is Archduke Ferdinand?,2500,0
13779,178,Who is Rasputin?,2900,1
13840,496,Who is Chuck Yeager?,3999,1
13840,491,Who is Chuck Yeagar?,6500,1
13840,178,Who is Chuck Yeager,701,1
13898,498,What is the Civil War?,100,1
13898,497,What is the Civil War?,0,1
13898,178,What is the Civil War?,1200,1
13959,499,What is an Avatar?,2200,1
13959,500,What is Avatar,12400,1
13959,501,What is avatar?,1401,1
14020,503,Who was Edward VII?,2500,0
14020,502,Who was George VI?,9600,0
14020,517,Who was Edward VIII?,10000,1
14081,506,What are Muh,3999,0
14081,504,What are the Diamondbacks & the Marlins,10000,0
14081,505,What are Mariners & Marlins,7601,1
14138,507,What is My Fair Lady?,5498,0
14138,178,What is Pygmalion?,801,1
