category_id,category
663,BASEBALL ROOKIES OF THE YEAR
664,WAXING PHILOSOPHICAL
665,SWEET
666,BALLROOM BLITZ
667,"SILENT ""P"""
692,HEIR OF THE DAG
693,BIG SCREEN BIOS
694,YOU HAD TO EXPECT SHAKESPEARE
695,GREAT MOMENTS IN HISTORY
696,A WORLD OF POTPOURRI
697,LINGUA TECHNA
722,FIRST LADIES
723,AROUND THE CELL
724,FISHING FOR VOCABULARY
725,"MONEY, MONEY, MONEY"
726,I'VE GOT SUPERNATURAL POWERS
727,THEY'RE ALL WINNERS!
728,GAME OVER
754,MOVIE MUSICALS
755,METER MAIDS
756,A YEAR IN THE LIFE OF HERBERT HOOVER
757,DESPOTPOURRI
758,WIDE WORLD OF WEIRD WORDS
783,GEOGRAPHY IN LITERATURE
784,NEW HAMPSHIRE
785,ALL THAT JAZZ
786,KOALA TIME
787,WHAT A MYTHTAKE!
788,RANKS & TITLES
789,YOU ARE WHAT YOU EAT
814,NATIONAL BOOK CRITICS CIRCLE HONOREES
815,TAKING YOUR LUMPS
816,HOW DO YOU...
817,"THE JOHNNY GILBERT ""BLUE""s"
818,THIS WAY TO THE EGRESS
819,LETTERS IN SEQUENCE
844,20th CENTURY SHIPS
845,U.S. LAKES
847,CHAIN OF COMMAND
848,IF THEY MARRIED...
849,PATRIOTS
850,FOREIGN WORDS & PHRASES
875,AMERICANA
876,PUNK
877,VICTORY IS OURS
878,THIS IS GONNA BE TOUGH
879,BIBLE BOOKS BY FAMOUS PHRASE
880,WISH I'D SAID THAT
905,CHILDREN'S AUTHORS
906,RELIGION
907,MULTIPLE TONY WINNERS
908,"COUNTRIES THAT END IN ""IA"""
909,PRECIOUS STONES
910,LET'S GET MEDICAL
936,JOHN RITTER
937,TOUGH LIT
938,THE INTERNATIONAL SPY MUSEUM
939,WINNER OF OUR DISCONTENT
940,PICTURESQUE
941,ADJECTIVES
966,PULITZER PRIZE WINNERS
967,BAHRAIN
968,POP CULTURE
969,BRIDGES TO THE FUTURE
970,GREAT BRITS
971,A BRIEF HISTORY OF THYME
972,"BROADWAY CROSSWORD CLUES ""T"""
997,SCIENCE & NATURE
998,ART & ARTISTS
999,A CAJUN CATEGORY
1000,TOP 40 MATH
1001,THE VEEP
1002,LETTER PERFECT
1027,POETS
1028,ANCIENT ROMAN STAND-UP COMEDY
1029,THE 3rd FILM IN THE SERIES
1030,WEBSITES
1031,YANGTZE DOODLE
1032,GO ON A DIET
1033,PROVERBIOS EN ESPAÑOL
1058,FLOWERS
1059,THE GREAT AMERICAN SONGBOOK
1060,MUSEUMS
1061,LITERATURE
1062,THE WOMEN OF CONGRESS
1063,JEOPORTMANTEAU!
1088,19th CENTURY NAMES
1089,IN OLD ENCYCLOPEDIAS
1090,PBS' ELECTRIC COMPANY
1092,SPLIT OWNERSHIP
1093,STARBUCKS
1094,"I DON'T GIVE A ""WHIT"""
1119,AFRICAN CAPITALS
1120,ALBUMS
1122,RENAISSANCE ART
1123,HUMAN EVOLUTION
1124,SEARCH: ENGINES
1149,ACRONYMS
1150,SCIENCE & TECHNOLOGY
1151,ANAGRAMMED WEST WING STARS
1152,BIRD-BRAINED BALLETS
1153,AMERICANS IN PARIS
1154,ENGLISH LIT
1155,TAKE IN ORDER!
1180,CALCULUS
1181,CHART TOPPERS
1182,GEOGRAPHY
1183,BLOGS
1184,FIVE EASY PEACES
1185,WORD ORIGINS
1210,AMERICANISMS
1212,SPORTS VENUES
1213,2 PICTURES SAY 1 WORD
1214,CHAT ROOM LINGO
1215,AARON BURR
1216,GOT MILK?
1241,THE 2004 PRESIDENTIAL RACE
1242,JACKS OR BETTER
1243,AVIATION
1244,SHE SELLS SEYCHELLES
1245,HOMOPHONIC NAMES
1246,"ENDS IN ""GHT"""
1272,IN THE SMITHSONIAN
1273,THE DONALD
1274,PLANETARY DISTINCTIONS
1275,JOE THE FARMER
1276,MEDALS & DECORATIONS
1302,HISPANIC HERITAGE
1303,A BYZANTINE CATEGORY
1304,THEATRICAL ANGELS
1305,VASES & URNS
1306,ROD STEWART
1307,"DO YA THINK I'M ""SEX""Y?"
1333,"GEOGRAPHY ""B"""
1334,TV WEAPONS
1335,A YEN FOR JAPAN
1336,FAMILY MEMBERS
1337,THE CHURCH LADY
1338,ISN'T THAT SPATIAL?
1364,SONG LYRICS
1365,LITERARY PAIRS
1366,FROM A TO E
1367,ART APPRECIATION
1368,OTHER USES FOR ANIMALS
1393,2004
1394,THE OLYMPICS
1395,TRACK & FIELD
1396,CYCLING
1397,"""LONG"" JUMP"
1398,POLL VAULT
1399,JIM-NASTICS
1424,THE UNIVERSITY OF CHICAGO
1425,"THIS MOVIE IS ""DEAD"""
1426,CLASSICAL MUSIC
1427,MRS. LINCOLN
1428,SHAKESPEARE'S KINGS & QUEENS
1429,WHITE HOUSE BEFORE & AFTER
1454,FAMOUS NAMES
1455,THE ART WORLD
1456,TOOL TIME
1457,THERE ARE PLACES
1458,SPANIARDS
1459,ACTORS & ACTRESSES
1460,GONE FISHIN'
1485,1920s AMERICA
1486,"""Y""s GUYS"
1487,"IT'S VEGAS, BABY!"
1488,FLY ME TO THE MOON
1489,BILLIE HOLIDAY
1490,STRANGE FRUIT
1515,MEN OF SCIENCE
1516,THE VIKINGS
1517,WHICH TV SHOW CAME FIRST?
1518,BRAND NAMES
1519,CATHOLICISM
1520,NURSERY RHYMES
1521,"""CC"" ME ON THAT"
1546,THE ADLER PLANETARIUM
1547,I NEED BACKUP
1548,TENNESSEE
1549,FOOD HISTORY
1550,AUTHORS BEFORE & AFTER
1551,"WHILE YOU WERE ""OUT"""
1576,BROADWAY MUSICALS
1577,THE DECLARATION OF INDEPENDENCE
1578,COWBOY SONGS
1579,WORD & PHRASE ORIGINS
1580,DICKENS BOOKS BY CHARACTERS
1581,TRICKY QUESTIONS
1582,STOP PULLING MY CHENEY
1607,DISCOVERY
1608,COMEDY CENTRAL
1609,HOME & GARDEN
1610,LIFETIME
1611,STYLE
1612,"SEE ""NN"""
1635,WESTERN HEMISPHERE GEOGRAPHY
1636,THE TOOTH OF THE MATTER
1637,4X4
1638,DUMB CRIMINALS
1639,LYRICS FROM MUSICALS
1640,BYE BYE BIRDIE
1641,WE LOVE YOU CONRAD
1664,THE AMERICAN REVOLUTION
1665,____ AND ____
1666,small state capitals
1667,LIVIN' IN THE '80s
1668,4-LETTER MUSICAL INSTRUMENTS
1669,"WHAT DO YOU ""C""?"
1694,1920s TRANSPORTATION
1695,PRESIDENTS BY KIDS
1696,HOCKEY
1697,"FOOD, GLORIOUS FOOD"
1698,HUMANITARIAN LADIES
1699,NICKNAMES
1700,"""ICK""Y WORDS"
1725,WORLD LIT
1726,WHATEVER HAPPENED TO...
1727,MATH
1728,LAKE CITY
1729,THE HOLE TRUTH
1730,"NOTHING ""BUT"""
1755,FAMOUS AMERICANS
1756,ORGANIZED RELIGION
1757,ACTRESSES
1758,LICENSE PLATE SLOGANS
1759,OCEANIA
1760,RANCH DRESSING
1761,"""D"" FACTO"
1786,THE ITALIAN RENAISSANCE
1787,"MUSIC IN ""C"""
1788,LITERARY ANALYSIS
1789,SWEET SIXTEEN
1790,"STOP IT, YOU'RE KILLING ME!"
1791,VICE PRESIDENTIAL RHYME TIME
1816,FAMOUS PAIRS
1817,ANIMALS
1818,ALL I WANT FOR CHRISTMAS IS...
1819,GET A JOB!
1820,BOOK SERIES
1821,NUMBER PATTERNS
1822,"NOTHIN' BUT ""A""s"
1845,18th CENTURY AMERICA
1846,THE LION KING ON BROADWAY
1847,OUTDOORS
1848,SIGNS & SYMBOLS
1849,PALINDROMIC PLACES
1850,ANYTHING BUT A's
1871,FAMOUS FIRSTS
1872,YELLOWSTONE NATIONAL PARK
1873,TV SHOW ROLL CALL
1874,"NUMBER, PLEASE"
1877,"I'VE GOT AN ""ITCH"""
1902,BALLET & OPERA
1903,VOCABULARY TEST
1904,WHEN THEY WERE KIDS
1905,THE NIGHTTIME SKY
1906,COOKING CLASS
1907,HOOP OF THE DAY
1932,U.S. GEOGRAPHY
1933,HISTORY PROBLEMS
1934,NICK BEFORE NIGHT
1935,COMPUTING 101
1936,MR. NOODLE
1937,PRESIDENTS' CHILDREN
1938,KIDSPEAK
1962,THE YOU-NIVERSE
1963,CIVIL WAR PEOPLE
1964,I KNOW THAT SONG
1965,CREATURE CULTURE
1966,COLORFUL RHYME TIME
1991,BIBLICAL WEIGHTS AND MEASURES
1992,GOING TO THE DOCTOR
1993,CHORES
1994,BRUSSELS SPROUTS
1995,HOMEWORK
1996,BEDTIME
1997,"""NO"" FUN"
2020,HISTORY
2021,CELEBRITIES
2022,U.S. STAMPS
2023,ELECTION TIME
2024,KIDS IN THE 1960s
2025,ANATOMICAL HOMONYMS
2049,THE EARLY 20th CENTURY
2050,STATE CAPITALS
2051,RATED PG
2052,MOVIE MUNCHABLES
2053,BUNNIES IN BOOKS
2054,CRAYOLA COLORS
2055,WHEEL OF JEOPARDY!
2076,GENERAL SCIENCE
2077,SINGERS
2079,AMERICAN HEROES
2080,THE HISTORY OF DISNEYLAND
2081,THE WORLD OF WORDS
2102,THE MOST POPULOUS NATION
2103,SPORTS TERMS
2104,GARDENS
2105,SHIPS
2106,EMILY POST-ER CHILD
2107,SEARCH: LIGHT
2132,LAW REVIEW
2133,OLD SONGS
2134,HOPE YOU'RE WELL READ...
2135,"CROSSWORD CLUES ""C"""
2136,HURRY UP!!!
2137,WHAT'S THE RUSHMORE?
2162,HISTORIC FIRSTS
2163,NONFICTION
2164,WOMEN IN SPORTS
2165,"""B""EOPLE"
2166,1959
2167,ARTS & CRAFTS
2168,PROVERBIALLY SPEAKING
2194,A HIT TWICE
2195,U.S. MILITARY MEN
2196,BEER BRANDS
2197,AROUND THE BODY
2198,O FOR A
2223,AUTHORS
2225,FAMILIAL SONG TITLES
2226,RED ALERT!
2227,PRESIDENTIAL CAMPAIGNS
2228,BUMPER STICKERS?
2229,"""J"" WALKING"
2254,RUSSIAN CULTURE
2255,BIG SCREEN BIO SUBJECTS
2256,CHILDREN IN LITERATURE
2257,POTENTATE POTABLES
2258,"ENTER & DESIGN IN, PLEASE"
2259,"""RE""RUNS"
2284,POPULATIONS
2285,SURVIVOR: CONGRESS
2286,WHATCHA GOT COOKING?
2287,THIS CATEGORY IS ABBREVIATED
2288,AIRPORTS
2289,FIRST CLASS
2290,COACH
2315,AQUATIC LIFE
2316,EVEs
2317,STATE-LY HOMES
2318,THAT DON'T SOUND RIGHT
2319,ART FOR ART'S SAKE
2320,SHAKESPEAREAN RHYME TIME
2345,HISTORIC AREAS
2346,DATE & PLACE
2347,GENESIS
2348,YOU ARE SO HOT!
2349,SOUNDS
2350,LIVIN' LA VIDA YOKO
2351,"DUDE, WHERE'S MY CARB?"
2376,DAYTON PLACE
2377,BEST DRAMATIC ACTOR TONY WINNERS
2378,THE CIA
2379,PLANT PARENTHOOD
2380,KATZ IN THE CRADLE
2381,"""PH""UN WORDS"
2406,FILMS OF THE '70s
2407,AMERICAN HISTORY
2409,"HEY, IT'S RAINING!"
2410,THE BIBLE TELLS ME SO
2411,FOOD FOR THOUGHT
2412,3-LETTER WORDS
2438,SPORTS MOVIES BY CHARACTERS
2439,THE NEW YORK STOCK EXCHANGE
2440,TITLE WAVE
2441,U.S. CITIES
2442,"SPECIAL ""K"""
2467,SEMIANNUAL PUBLICATIONS
2468,BRINGING HOME THE BACON
2469,BEFORE I WAS ELECTED
2470,BASEBALL IN THE '60s
2471,IT'S ELEMENTAL
2472,STUPID ANSWERS
2473,FOREIGN ANIMAL NOISES
2498,BRINGING HOME KEVIN BACON
2499,OCEAN NOTIONS
2500,A WORLD OF BOOKS
2501,8-LETTER WORDS
2504,"""T""-HE"
2505,PLAQUES
2526,ROYALTY
2527,GUNSMOKE
2528,LEAVE IT TO BEAVER
2529,"YOU BET YOUR ""LIFE"""
2530,WHAT'S MY LINE
2531,FATHER KNOWS BEST
2532,'50s TV
2557,KNIGHTS & KNIGHTHOOD
2558,"TOP OF THE CHARTS, MA!"
2559,"""I"" LADS"
2560,COUNTRY MATTERS
2561,BIBLICAL NAME'S THE SAME
2562,5-LETTER WORDS
2585,U.S. TRAVEL AND TOURISM
2586,CREAM
2587,SUNSHINE
2588,"OF YOUR ""LOVE"""
2589,STRANGE BREW
2590,CROSSROADS
2591,TALES OF BRAVE ULYSSES
2616,LEFT TO MY OWN DEVICES
2617,EVENTS IN THE OLYMPIC DECATHLON
2618,WASHINGTON'S NATIONAL CATHEDRAL
2619,IT'S ALL GREEK TO ME
2620,AWARDS & HONORS
2646,THE MIDDLE AGES
2647,WOMEN ON TV
2648,"I'M A PEPPER, YOU'RE A PEPPER"
2649,ODD ANIMAL FACTS
2650,I WANT MY SUV
2651,"TANGLED UP IN ""BLUE"""
2676,MATH & SCIENCE
2677,"""DON'T"" FORGET THIS SONG"
2678,LAND O' LAKES
2679,OPRAH'S BOOK CLUB
2680,OFFICIAL STATE FOOD & DRINK
2681,FAMILIAR PHRASES
2706,SPORTS
2707,THE TRUMAN LIBRARY
2708,"DO ""TELL"""
2709,BOTTOM OF THE NINTH
2710,"IF YOU GROW IT, THEY WILL EAT"
2711,CHAMPAGNE MUSIC
2712,SHALL WE GDANSK?
2737,YOUR HITTITE PARADE
2738,STAR WARS
2739,GRAY'S ANATOMY
2740,CALIFORNIA DREAMIN'
2741,PULITZER PRIZE-WINNING PLAYS
2765,COMPANY ORIGINS
2766,REMEMBER 1995?
2768,ORGANIZATIONS
2769,ART SCHOOL
2770,EITHER/OR
2771,TO PHRASE A COIN
2796,NOVELTY SONGS
2797,HELLO MOTHER
2798,HELLO FODDER
2799,HERE I AM AT...
2800,"""CAMP"""
2801,GRANADA
2826,THEATRICAL PREMIERES
2827,REPORTING FROM THE WHITE HOUSE
2828,VIDEO GAMES
2829,IT’S A MONARCHY
2830,THEY DO GOOD WORK
2831,COLLEGES & UNIVERSITIES
2832,"""Y""? BECAUSE WE LIKE YOU!"
2857,WEIRD HISTORY
2858,FILMS OF THE 21st CENTURY
2859,DA OLOGY SHOW
2860,TRASH TALKIN'
2861,TRAVEL
2862,BY TWAIN
2887,WORLD FLAGS
2888,FLOWER
2889,DOUGH
2890,CHEESE
2891,THE UPPER CRUST
2892,"""DEEP"" DISH"
2893,WE WANT PISA!
2920,FOREIGN TRAVEL
2921,THEIR ALMA MATERS
2922,HOUSES OF WORSHIP
2923,COMPUTER JARGON
2948,BRITISH NOVEL CHARACTERS
2949,PITS BURG
2950,MONKEY BUSINESS
2951,THAT'S SO RANDOM!
2952,NAME THAT CENTURY
2953,HOLIDAYS AND OBSERVANCES
2954,GET A DEGREE
2980,COLLEGE FOOTBALL
2981,MERRIE OLDE ENGLAND
2982,RESUMÉS OF WORLD LEADERS
2983,BETTER LIVING THROUGH CHEMISTRY
2984,THESE WORDS ARE IN JEOPARDY!
3009,ON THE GLOBE
3010,PITTSTORY
3011,NONMUSICAL MTV
3012,HORNED ANIMALS
3013,FRATERNITY SUIT
3014,POETRY
3015,WHAT'S THAT WORD...?
3040,PITT STORY
3041,THE ENLIGHTENMENT
3042,THE LONE REPRESENTATIVE
3043,OUR TROUBLED PLANET
3044,INTERNATIONAL TRAFFIC
3070,BEETHOVEN
3071,THE GOD SQUAD
3072,MUSIC ON MY iPOD
3073,OUR FOUNDING FATHERS
3074,COLLEGIATE FINE DINING
3075,SHOCKING!
3076,YOU HAVE TOO MUCH...
3101,YOU'RE SWIMMING IN IT
3102,THE AGASSI & THE ECSTASY
3103,SHAKESPEARE
3104,GENERAL ED.
3105,PASSING TIME ON CAMPUS
3106,"DOUBLE ""L"""
3131,OCCUPATIONS
3133,WHEN THEY WERE IN COLLEGE
3134,BESTSELLERS
3135,LAST YEAR'S NEWS
3136,PHYSICS
3137,"""MID"" TERMS"
3162,REMAINS TO BE SEEN
3163,A QUICKIE WITH SUPERMAN
3164,THIS MEANS WAR
3165,COOKING
3166,TOOLS OF THE TRADE
3167,E BEFORE I
3192,SCIENCE NEWS
3193,ROCKS & STUFF
3194,I PLAYED 'EM ON TV
3195,FAMOUS FRIENDSHIPS
3196,NASA PRODUCTS
3197,THINGS TO GIVE THANKS FOR
3223,TOUR DE FRANCE
3224,CINEMA TRIVIA
3225,EARLS GONE WILD
3226,ART HISTORY CLASS
3227,"YOU GET AN ""F"""
3228,"FIND A JOB, KID"
3253,AMERICAN NOVELS
3254,THE BODY HUMAN
3255,CELEBS
3257,DRIVING THE GREEN
3258,BEWITCHED
3259,"THE ""O.C."""
3284,THE RENAISSANCE
3286,COLLEGE NEWSPAPERS
3287,RUSSIAN AROUND
3288,"WHAT UP, DOG?"
3289,BASKETBALL WITH COACH DIXON
3314,FAMOUS WOMEN
3315,PLACES FOR ANIMALS
3317,ROAD TRIPPING
3318,UNITS OF MEASURE
3320,"PITTSBURGH STEELERS, PIRATES & PENGUINS"
3345,CLIFFS NOTES
3346,I HEAR YOU CALLING
3347,ROYAL SCANDALS
3348,A REAL RHODES SCHOLAR
3349,"STEELERS, PIRATES & PENGUINS"
3353,X GAMES
3370,20th CENTURY AMERICANS
3371,MY NAME IS ALEX
3372,MOVIE TITLE TRANSLATIONS
3373,ENGLISH LITERATURE
3374,COLLEGE HODGEPODGE
3375,THE PLANETS
3376,"CROSSWORD CLUES ""P"""
3399,"MARTIN LUTHER KING, JR."
3400,POP CULTURE 2004
3401,METALS
3402,GREECE
3403,I LEARNED IT ONLINE
3404,FRESHMAN COMPOSITION
3429,STATE FACTS
3430,ANTHROPOLOGY
3431,HIT TV THEME SONGS
3432,RHYMES WITH FOUR
3433,THE NEW TESTAMENT
3434,THE LIGHTER SIDE OF LIFE
3435,"TAKE ME HOME, ALEX"
3460,PHILOSOPHY
3461,FILMED IN HAWAII
3462,"U.S. ""S""ITIES"
3464,WHO WAS THE ENGLISH MONARCH WHEN...
3465,NAMES FROM THE GERMAN
3490,20th CENTURY VICE PRESIDENTS
3491,FIRST ELECTED OFFICE
3492,RETITLED CINEMA
3493,A DATE WITH HISTORY
3494,DOUBLE DOWN
3495,AIRPORT CODES
3496,"""Z"" END"
3521,ASIA
3522,ROLLING STONE'S 50 GREATEST ARTISTS
3523,NOBEL CATEGORIES BY WINNER
3524,CAPTAIN O'  THE SHIP
3525,BOOK BINDINGS
3526,ADD TWO LETTERS
3551,POLITICAL WORDS & PHRASES
3552,THE 50 STATES
3553,"I'M NOT A DOCTOR, BUT I PLAY ONE ON TV"
3554,AWARDS
3555,NAME THE DECADE
3556,FRAIDY CAT
3557,"CROSSWORD CLUES ""D"""
3582,ART HISTORY
3583,& JOAN RIVERS RUNS THROUGH IT
3584,SHAKESPEARE'S SMALL PARTS
3585,COMMON BONDS
3586,"THE ""K"" TEAM"
3587,MUSICAL IDIOMS
3612,19th CENTURY U.S. HISTORY
3613,1804
3614,COUNTRY MUSIC HALL OF FAME
3615,HOW CAPITAL!
3616,CHAIRS
3617,TAKING STOCK
3618,"SHOOT SOME ""POOL"""
3641,CLASSICAL COMPOSERS
3642,BRITISH FOOD WORDS
3643,WEAPONS OF THE 2nd MILLENNIUM
3644,WORKS OF THE BARD
3645,"B, M, W"
3646,THE ULTIMATE DIVING MACHINE
3671,BABY NAMES
3672,NO SOUP FOR YOU!
3673,FESTIVUS
3674,THE CONTEST
3675,A CATEGORY ABOUT NOTHING
3676,SOME BRAINTEASERS ABOUT SEINFELD
3680,YADA YADA YADA
3701,ZOOLOGY
3702,FUNNY HATS
3703,PATTON PENDING
3704,GRAB BAG
3705,SLANG
3712,PRO SPORTS VENUES
3729,BUSINESS & INDUSTRY
3730,DECEMBER 1st
3731, A JIM CARREY FILM FESTIVAL
3732,SOUNDS ALL AROUND
3733,FOREVER 39
3734,"""B"" BRAVE"
3743,ASK YOUR DOCTOR...
3758,LET'S GET CREATIVE
3759,SPORTS RECORDS
3760,MILITARY TRAINING BASES
3762,SPELL-BOUND FOR BROADWAY
3763,"""SUM"" IT UP"
3787,THE 18th CENTURY
3788,BEN FRANKLIN
3789,NFL TEAM PLAYERS
3790,SHAPE UP
3791,3rd GRADERS KNOW THIS STUFF
3792,STUCK IN THE MIDDLE
3793,"WITH ""U"""
3818,HISTORICAL QUOTES
3819,ECONOMICS
3820,EXTREME TAKEOVER
3822,PLAYS BY CHARACTER
3823,10-LETTER WORDS
3848,VOCABULARY
3849,NEPALESE HISTORY
3850,SONG BIRDS
3851,ON THE GO
3853,10-HUT!
3854,"AT ""EASE"""
3879,ANDREW JACKSON
3880,GROUPS
3881,THE WILD WEST INDIES
3882,CORPORATE BRANDS
3883,THAT'S POETRY TO MY EAR
3884,"4-LETTER ""W""ORDS"
3909,THE WAR BETWEEN THE STATES
3910,BASEBALL MVPs BY DECADE
3911,DWAT DAT WABBIT!
3912,QUOTH THE RAVEN?
3913,REPORTING THE NEWS
3914,"""C"" ME"
3940,OIL!
3941,A LITERARY TOUR
3942,MUSICAL INSTRUMENTS
3943,2-LETTER WORDS
3944,SEA ME
3969,CHILDREN'S STORIES
3970,BIOLOGY
3971,SITCOM SPIN-OFFS
3972,IT'S OUR TURN TO SACK ROME!!!
3973,LET'S GET SMALL
3974,AUSTRALIAN BUSINESS
3975,BODY LANGUAGE
4000,KNOW THE SCORE
4001,THE BRITISH ARE COMING!
4002,NEWER FRUITS & VEGETABLES
4003,WHO APPOINTED ME TO THE SUPREME COURT?
4004,PUT OUT THE CHINA
4005,"AFTER ""AFTER"""
4028,PLAYWRIGHTS
4030,TV ON TV
4031,CARS
4032,'70s NONFICTION
4033,WHOSE LIME IS IT ANYWAY?
4034,"""TA"" TA FOR NOW"
4059,MY GIRL
4060,BRICK HOUSE
4061,"RIVER DEEP, MOUNTAIN HIGH"
4062,PLEASE MR. POSTMAN
4063,"A, B, C"
4069,I HEAR A SYMPHONY
4087,THE CABINET
4089,SIDEKICKS
4090,A WEALTH OF INFORMATION
4091,THEY USED TO BE IN CHARGE
4092,SOCIAL TYPES
4093,"""FRE""-DOM"
4118,MEDIEVAL TIMES
4119,"A ""THORN""-Y CATEGORY"
4120,SAY HELLO TO OUR FEATHERED FRIENDS
4121,I PUT YOU ON THE MAP
4123,ALLITERATION
4148,RARITIES
4149,THE U.S. CONSTITUTION
4150,2 CAN PLAY THAT GAME
4151,MAGAZINES
4152,IT'S THEIR FAULT
4153,STAY ON THE GRASS
4154,RHYME TIME FOOD
4179,MANHATTAN NEIGHBORHOODS
4180,SPANISH CLASS
4181,LITERARY BEFORE & AFTER
4182,GET YOUR GOAT
4183,LEGAL BRIEFS
4184,"I PREDICT ""SNOW"""
4209,STATE MOTTOES
4210,JOURNALISM
4211,PEOPLE ON THE MAP
4212,THE LIBERTY BELL
4213,DON WE NOW OUR GUY APPAREL
4214,PRESIDENTIAL MIDDLE NAMES
4240,THE OSCARS
4241,MAYBE YOU HAVE TO BE A NUCLEAR PHYSICIST
4242,THE VEGETABLE GARDEN
4243,I CAN SEE YOUR HOUSE FROM HERE!
4244,18th CENTURY QUOTES
4245,"WHERE DO YOU GET ""OFF""?"
4270,BUSINESS HISTORY
4271,SOCIOLOGY
4272,RADIO PERSONALITIES
4273,HEADQUARTERS
4274,BERMUDA SHORTS
4275,MILLIONS OF REASONS
4276,SOUNDS LIKE A RAPPER
4301,THE FABULOUS '50s
4302,SNOWBOARDING
4303,TOM WOLFE
4304,MED. ABBREV.
4305,THOSE CRAZY GUGGENHEIMS
4306,"""E"" CHANNEL"
4331,AWARD-WINNING AUTHORS
4332,EUROPE
4333,HERE BE MONSTERS
4334,VICE PRESIDENTIAL NICKNAMES
4335,WE MEAN BUSINESS
4336,"THE ""RED"", ""WHITE"" & ""BLUE"""
4337,SALUTE THE FLAG
4362,GERMAN LITERATURE
4363,BROADWAY
